Team1,Team2,Winner,Margin,Ground,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2,Match Year,Match Month,Match Day,Margin (Runs),Margin (Wickets),Batting Ranking Difference,Bowling Ranking Difference
Canada,Pakistan,Pakistan,7 wickets,New York,2665,99.53,82.2,101.0,89.0,0,0,8,1,0.0,2024,6,11,0.0,7.0,17.33,12.0
Bangladesh,South Africa,South Africa,4 runs,New York,2664,92.53,77.53,81.0,80.0,8,0,8,0,0.0,2024,6,10,4.0,0.0,15.0,1.0
Oman,Scotland,Scotland,7 wickets,North Sound,2659,101.0,94.73,101.0,95.2,2,0,5,0,0.0,2024,6,9,0.0,7.0,6.269999999999996,5.799999999999997
India,Pakistan,India,6 runs,New York,2658,78.13,82.07,76.8,90.27,8,1,8,1,66.66,2024,6,9,6.0,0.0,3.9399999999999977,13.469999999999999
West Indies,Uganda,West Indies,134 runs,Providence,2651,79.73,101.0,84.27,101.0,8,2,0,0,0.0,2024,6,8,134.0,0.0,21.269999999999996,16.730000000000004
Australia,England,Australia,36 runs,Bridgetown,2650,65.4,77.0,74.73,73.6,8,1,8,2,43.47,2024,6,8,36.0,0.0,11.599999999999994,1.1300000000000097
Netherlands,South Africa,South Africa,4 wickets,New York,2649,93.8,77.13,92.53,79.47,5,0,8,0,0.0,2024,6,8,0.0,4.0,16.67,13.060000000000002
Bangladesh,Sri Lanka,Bangladesh,2 wickets,Dallas,2646,93.2,86.67,82.8,93.4,8,0,8,1,31.25,2024,6,7,0.0,2.0,6.530000000000001,10.600000000000009
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,2645,85.2,74.13,86.33,72.53,6,0,8,0,0.0,2024,6,7,84.0,0.0,11.070000000000007,13.799999999999997
Canada,Ireland,Canada,12 runs,New York,2644,99.73,92.93,101.0,95.73,0,0,7,0,50.0,2024,6,7,12.0,0.0,6.799999999999997,5.269999999999996
Namibia,Scotland,Scotland,5 wickets,Bridgetown,2643,100.31,94.53,99.56,94.73,2,0,5,0,100.0,2024,6,6,0.0,5.0,5.780000000000001,4.829999999999998
USA,Pakistan,tied,-,Dallas,2642,101.0,82.07,101.0,89.87,0,0,8,1,0.0,2024,6,6,0.0,0.0,18.930000000000007,11.129999999999995
Australia,Oman,Australia,39 runs,Bridgetown,2641,65.0,101.0,75.0,101.0,8,1,2,0,0.0,2024,6,5,39.0,0.0,36.0,26.0
PNG,Uganda,Uganda,3 wickets,Providence,2640,98.6,101.0,101.0,101.0,1,0,0,0,100.0,2024,6,5,0.0,3.0,2.4000000000000057,0.0
India,Ireland,India,8 wickets,New York,2639,76.8,92.13,76.93,95.27,8,1,7,0,100.0,2024,6,5,0.0,8.0,15.329999999999998,18.33999999999999
Nepal,Netherlands,Netherlands,6 wickets,Dallas,2638,100.2,93.2,100.8,94.0,1,0,5,0,0.0,2024,6,4,0.0,6.0,7.0,6.799999999999997
England,Scotland,no result,-,Bridgetown,2637,76.8,94.47,72.33,94.6,8,2,5,0,0.0,2024,6,4,0.0,0.0,17.67,22.269999999999996
Afghanistan,Uganda,Afghanistan,125 runs,Providence,2636,85.4,101.0,86.67,101.0,6,0,0,0,0.0,2024,6,3,125.0,0.0,15.599999999999994,14.329999999999998
South Africa,Sri Lanka,South Africa,6 wickets,New York,2635,77.73,84.6,79.87,93.2,8,0,8,1,64.7,2024,6,3,0.0,6.0,6.86999999999999,13.329999999999998
Namibia,Oman,tied,-,Bridgetown,2634,100.25,101.0,99.75,101.0,2,0,2,0,66.6,2024,6,2,0.0,0.0,0.75,1.25
West Indies,PNG,West Indies,5 wickets,Providence,2633,78.33,98.8,85.13,101.0,8,2,1,0,0.0,2024,6,2,0.0,5.0,20.47,15.870000000000005
USA,Canada,USA,7 wickets,Dallas,2632,101.0,100.47,101.0,101.0,0,0,0,0,57.14,2024,6,1,0.0,7.0,0.5300000000000011,0.0
