Team1,Team2,Winner,Margin,Ground,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2,Match Year,Match Month,Match Day,Margin (Runs),Margin (Wickets),Batting Ranking Difference,Bowling Ranking Difference
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),285,74.8,68.27,79.8,68.53,3,0,3,1,40.0,2012,10,2,32.0,0.0,6.530000000000001,11.269999999999996
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,284,84.8,81.67,75.47,72.0,3,0,3,1,100.0,2012,10,1,19.0,0.0,3.1299999999999955,3.469999999999999
New Zealand,West Indies,tied,-,Pallekele,283,72.27,70.67,72.07,81.4,3,0,3,0,20.0,2012,10,1,0.0,0.0,1.5999999999999943,9.330000000000013
India,Pakistan,India,8 wickets,Colombo (RPS),282,65.73,67.8,83.2,66.0,3,1,3,1,50.0,2012,9,30,0.0,8.0,2.069999999999993,17.200000000000003
Australia,South Africa,Australia,8 wickets,Colombo (RPS),281,74.33,79.27,81.0,68.87,3,0,3,0,50.0,2012,9,30,0.0,8.0,4.939999999999998,12.129999999999995
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,280,84.8,71.6,75.47,78.4,3,0,3,0,100.0,2012,9,29,0.0,9.0,13.200000000000003,2.930000000000007
England,New Zealand,England,6 wickets,Pallekele,279,78.6,72.87,72.4,71.6,3,1,3,0,80.0,2012,9,29,0.0,6.0,5.72999999999999,0.8000000000000114
Australia,India,Australia,9 wickets,Colombo (RPS),278,74.4,65.53,84.13,83.67,3,0,3,1,50.0,2012,9,28,0.0,9.0,8.870000000000005,0.45999999999999375
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),277,67.0,79.0,66.13,70.0,3,1,3,0,40.0,2012,9,28,0.0,2.0,12.0,3.8700000000000045
England,West Indies,West Indies,15 runs,Pallekele,276,79.47,73.33,73.2,78.87,3,1,3,0,37.5,2012,9,27,15.0,0.0,6.140000000000001,5.670000000000002
Sri Lanka,New Zealand,tied,-,Pallekele,275,84.47,73.6,75.67,71.6,3,0,3,0,50.0,2012,9,27,0.0,0.0,10.870000000000005,4.070000000000007
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,274,91.2,68.47,83.13,67.2,3,0,3,1,0.0,2012,9,25,0.0,8.0,22.730000000000004,15.929999999999993
Ireland,West Indies,no result,-,Colombo (RPS),273,87.87,71.8,79.73,81.0,2,0,3,0,0.0,2012,9,24,0.0,0.0,16.070000000000007,1.269999999999996
England,India,India,90 runs,Colombo (RPS),272,77.33,65.67,73.13,84.27,3,1,3,1,75.0,2012,9,23,90.0,0.0,11.659999999999997,11.14
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,271,74.07,72.4,71.53,67.13,3,0,3,1,37.5,2012,9,23,13.0,0.0,1.6699999999999875,4.400000000000006
Australia,West Indies,Australia,17 runs,Colombo (RPS),270,73.8,71.93,85.07,80.47,3,0,3,0,57.14,2012,9,22,17.0,0.0,1.8699999999999903,4.599999999999994
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,269,84.13,77.93,74.87,69.27,3,0,3,0,0.0,2012,9,22,32.0,0.0,6.199999999999989,5.6000000000000085
Afghanistan,England,England,116 runs,Colombo (RPS),268,95.0,78.73,97.67,74.6,1,0,3,1,0.0,2012,9,21,116.0,0.0,16.269999999999996,23.070000000000007
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,267,91.0,73.47,83.27,72.8,3,0,3,0,0.0,2012,9,21,59.0,0.0,17.53,10.469999999999999
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,266,78.33,86.2,71.4,85.93,3,0,2,0,100.0,2012,9,20,0.0,10.0,7.8700000000000045,14.530000000000001
Afghanistan,India,India,23 runs,Colombo (RPS),265,95.87,65.73,97.87,85.2,1,0,3,1,0.0,2012,9,19,23.0,0.0,30.14,12.670000000000002
Australia,Ireland,Australia,7 wickets,Colombo (RPS),264,73.47,87.8,87.4,79.0,3,0,2,0,0.0,2012,9,19,0.0,7.0,14.329999999999998,8.400000000000006
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,263,84.13,86.07,75.33,86.27,3,0,2,0,100.0,2012,9,18,82.0,0.0,1.9399999999999977,10.939999999999998
India,Sri Lanka,Sri Lanka,6 wickets,Mirpur,400,70.2,75.0,77.67,71.73,4,1,4,0,60.0,2014,4,6,0.0,6.0,4.799999999999997,5.939999999999998
India,South Africa,India,6 wickets,Mirpur,399,70.33,82.4,79.07,79.07,4,1,4,0,71.4,2014,4,4,0.0,6.0,12.070000000000007,0.0
Sri Lanka,West Indies,Sri Lanka,27 runs,Mirpur,398,76.67,70.73,72.4,65.4,4,0,4,1,80.0,2014,4,3,27.0,0.0,5.939999999999998,7.0
Pakistan,West Indies,West Indies,84 runs,Mirpur,397,71.53,71.33,69.87,67.27,4,1,4,1,66.6,2014,4,1,84.0,0.0,0.20000000000000284,2.6000000000000085
Bangladesh,Australia,Australia,7 wickets,Mirpur,396,82.87,69.87,81.27,81.13,4,0,4,0,0.0,2014,4,1,0.0,7.0,13.0,0.14000000000000057
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,395,79.4,76.67,79.4,74.47,4,0,4,0,41.66,2014,3,31,59.0,0.0,2.730000000000004,4.930000000000007
England,Netherlands,Netherlands,45 runs,Chattogram,394,76.93,84.8,85.67,80.73,4,1,1,0,0.0,2014,3,31,45.0,0.0,7.86999999999999,4.939999999999998
Australia,India,India,73 runs,Mirpur,393,69.8,71.07,81.67,82.67,4,0,4,1,50.0,2014,3,30,73.0,0.0,1.269999999999996,1.0
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,392,83.0,72.53,82.33,71.0,4,0,4,1,0.0,2014,3,30,50.0,0.0,10.469999999999999,11.329999999999998
England,South Africa,South Africa,3 runs,Chattogram,391,77.2,83.67,80.53,79.87,4,1,4,0,37.5,2014,3,29,3.0,0.0,6.469999999999999,0.6599999999999966
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,390,86.47,79.27,81.6,79.4,1,0,4,0,0.0,2014,3,29,0.0,6.0,7.200000000000003,2.1999999999999886
Bangladesh,India,India,8 wickets,Mirpur,389,83.93,70.07,84.0,85.4,4,0,4,1,0.0,2014,3,28,0.0,8.0,13.860000000000014,1.4000000000000057
Australia,West Indies,West Indies,6 wickets,Mirpur,388,70.53,72.07,83.2,68.07,4,0,4,1,50.0,2014,3,28,0.0,6.0,1.539999999999992,15.13000000000001
England,Sri Lanka,England,6 wickets,Chattogram,387,77.27,76.73,81.53,68.4,4,1,4,0,25.0,2014,3,27,0.0,6.0,0.539999999999992,13.129999999999995
Netherlands,South Africa,South Africa,6 runs,Chattogram,386,87.0,83.33,81.8,74.33,1,0,4,0,0.0,2014,3,27,6.0,0.0,3.6700000000000017,7.469999999999999
Bangladesh,West Indies,West Indies,73 runs,Mirpur,385,83.27,72.8,85.07,69.4,4,0,4,1,50.0,2014,3,25,73.0,0.0,10.469999999999999,15.669999999999987
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,384,85.93,76.4,81.4,68.07,1,0,4,0,0.0,2014,3,24,0.0,9.0,9.530000000000001,13.330000000000013
New Zealand,South Africa,South Africa,2 runs,Chattogram,383,79.8,83.6,80.87,75.07,4,0,4,0,27.27,2014,3,24,2.0,0.0,3.799999999999997,5.800000000000011
India,West Indies,India,7 wickets,Mirpur,382,69.47,72.73,86.67,70.33,4,1,4,1,33.3,2014,3,23,0.0,7.0,3.260000000000005,16.340000000000003
Australia,Pakistan,Pakistan,16 runs,Mirpur,381,71.67,72.2,80.67,72.27,4,0,4,1,36.36,2014,3,23,16.0,0.0,0.5300000000000011,8.400000000000006
England,New Zealand,New Zealand,9 runs,Chattogram,380,77.4,79.87,80.87,83.07,4,1,4,0,63.63,2014,3,22,9.0,0.0,2.469999999999999,2.1999999999999886
